id,sentiment,text
681448379,neutral,userMentionToken check out new music urlToken
681448382,negative,userMentionToken how's a direct flight fll-&gt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. sneaky
681448383,negative,userMentionToken your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.
681448385,positive,"userMentionToken - amazing customer service, again! raeann in sf - she's the best! customerservice virginamerica flying"
681448387,negative,userMentionToken called your service line and was hung up on. this is awesome. sarcasm
681448389,negative,userMentionToken your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.
681448391,neutral,userMentionToken i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?
681448393,positive,"userMentionToken has getaway deals through may, from $59 one-way. lots of cool cities urlToken cheapflights farecompare"
681448395,neutral,"userMentionToken has getaway deals through may, from $59 one-way. lots of cool cities urlToken cheapflights farecompare"
681448397,positive,"userMentionToken has getaway deals through may, from $59 one-way. lots of cool cities urlToken cheapflights farecompare"
681448400,neutral,"userMentionToken has getaway deals through may, from $59 one-way. lots of cool cities urlToken cheapflights farecompare"
681448402,positive,userMentionToken have a great week
681448404,positive,userMentionToken come back to phl already. we need you to take us out of this horrible cold. pleasecomeback urlToken
681448406,negative,"userMentionToken should i be concerned that i am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
681448408,positive,"userMentionToken is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
681448410,positive,userMentionToken and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!
681448413,positive,userMentionToken your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
681448415,positive,"userMentionToken love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining"
681448419,negative,userMentionToken use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
681448421,negative,"userMentionToken and now the flight flight booking problems site is totally down. folks, what is the problem?"
681448423,negative,userMentionToken i like the customer service but a 40 min delay just for connecting passengers seems too long. va370
681448426,positive,userMentionToken thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!
681448429,positive,userMentionToken you have the absolute best team and customer service ever. every time i fly with you i'm delighted. thank you!
681448431,neutral,"userMentionToken do you provide complimentary upgrades to first class, if there are available seats?"
681448432,negative,userMentionToken i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!
681448433,positive,userMentionToken completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time. vabeatsjblue
681448435,neutral,userMentionToken how can i watch the oscars2015 on my jfk-&gt;sfo flight?
681448437,neutral,userMentionToken is flight 882 cancelled flightled and what do i do if it is?
681448440,negative,userMentionToken you are failing your customers because your check in process does not link to tsa pre-check.
681448442,negative,userMentionToken userMentionToken us too! terrible airline! just gave us a hotel hotline number and said sorry
681448444,neutral,userMentionToken has flight number 276 from sfo to cabo san lucas arrived yet?
681448446,negative,userMentionToken userMentionToken your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you!
681448448,negative,userMentionToken another delayed flight? likingyoulessandless
681448451,negative,userMentionToken i need to register a service dog for a first class ticket from sfo &gt; dulles. the phone queue is an hour or longer. pls advise
681448453,positive,userMentionToken you rock for making it so i can watch oscars on my flight!! redcarpet oscars oscars2015
681448455,neutral,userMentionToken userMentionToken dropped a track on you... urlToken
681448457,positive,userMentionToken always!!! xoxo
681448459,negative,userMentionToken why can't we book seats on your flights when we buy them or even during check in? creates so much anxiety! frustrated
681448461,negative,userMentionToken you'd think paying an extra $100 bucks for luggage might afford you hiring an extra hand at userMentionToken lame
681448464,positive,userMentionToken best customer service rep in the world! irmafromdallas takes the cake!!!
681448466,neutral,userMentionToken can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service
681448468,negative,userMentionToken please provide status for flight 769. i cant imagine it's on time as the web indicates dude to weather here and/or dallas
681448470,positive,userMentionToken you have amazing staff &amp; super helpful as i just ran the userMentionToken princesshalf they have spoiled me with comfort!!!
681448471,negative,"userMentionToken i paid the premium to fly you across the country, you cancelled flight my flight and offer no check fee or upgrade love? sad face :("
681448474,negative,userMentionToken question: is it not possible to book a seat for an infant under 2? it's not giving me the option but we want a seat for him.
681448476,positive,always have it together!!! you're welcome! userMentionToken userMentionToken you're so welcome.
681448478,positive,userMentionToken flight home to dc sunset globe in' backtowinter back to work! refreshed urlToken
681448480,negative,.userMentionToken i don't understand why you need a dm to give me an answer on if you have a damaged luggage policy.
681448484,negative,.userMentionToken does that mean you don't have a policy for destroyed luggage?
681448487,neutral,userMentionToken is there special assistance if i travel alone w/2 kids and 1 infant? priority boarding?
681448488,positive,userMentionToken thank you for checking in. tickets are purchased and customer is happy :)
681448489,neutral,userMentionToken is your website ever coming back online?
681448491,neutral,"userMentionToken - is flight 713 from love field to sfo definitely cancelled flightled for monday, february 23?"
681448496,neutral,userMentionToken is flight 0769 out of lga to dfw on time?
681448498,neutral,userMentionToken my drivers license is expired by a little over a month. can i fly friday morning using my expired license?
681448500,negative,userMentionToken having problems flight booking problems on the web site. keeps giving me an error and to contact by phone. phone is 30 minute wait.
681448502,negative,userMentionToken how do i reschedule my cancelled flightled flights online? the change button is greyed out!
681448504,negative,"userMentionToken i rang, but there is a wait for 35 minutes!! i can book the same ticket through a vendor, fix your site"
681448506,negative,"userMentionToken got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 tomorrow. this is unacceptable."
681448509,negative,"userMentionToken our flight into lga was cancelled flighted. we're stuck in dallas. i called to reschedule, told i could get a flight for today...(1/2)"
681448511,negative,userMentionToken why don't any of the pairings include red wine?! only white is offered :( redwineisbetter
681448513,negative,userMentionToken is the website down?
681448515,negative,userMentionToken - your site seems a little wonked right now. may want to have a look. tried on two browsers. no css? urlToken
681448517,negative,userMentionToken i'm disappointed that the agent at the designated silver status check in line userMentionToken closed to assist all pasengers
681448520,neutral,userMentionToken plans to include austin to its dallas route - topnews arab emirates urlToken
681448522,negative,userMentionToken is it normal to receive no reply from central baggage baggageissues smh
681448524,negative,userMentionToken at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!
681448527,neutral,userMentionToken to jump into the dallas-austin market - userMentionToken urlToken
681448529,neutral,"userMentionToken beats eps views, takes on southwestair va luv - investor's business daily urlToken"
681448531,neutral,userMentionToken lister to my show my on monday 1230 130
681448533,neutral,userMentionToken to begin dallas-austin flights in april - 88.9 ketr urlToken
681448535,negative,"userMentionToken congrats, you just got all my business from ewr to sfo/lax. fuck you userMentionToken fl1289 sfo/ewr was the clincher..."
681448538,negative,userMentionToken i applied over 2 weeks ago. haven't heard back and i'm flying this week disappointed
681448540,neutral,userMentionToken i'd love to know what your policy is for damaged luggage.
681448542,positive,userMentionToken thank you for the follow
681448543,negative,userMentionToken - too many apologies! you r the worse airlines! don't even respond to your cudtomers
681448545,negative,userMentionToken shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?
681448547,neutral,userMentionToken userMentionToken i dm you
681448551,neutral,userMentionToken can you please have flights in sjc ? i have no choice but to fly southwest to vegas
681448553,negative,userMentionToken too bad you say it takes 10 to 14 days via your confirmation email. when i inquired after 3 weeks you claim 6 to 8 weeks!
681448555,negative,userMentionToken flight from bos &gt; las tomorrow was cancelled flightled. no notification; wait times are 1+ hour. will you rebook on another airline?
681448558,positive,userMentionToken you ve met your match. got status on another airline? upgrade (+restr): urlToken urlToken
681448560,positive,userMentionToken only way to fly! elevate gold
681448562,neutral,userMentionToken if only you guys had flights from cmh.
681448564,negative,"userMentionToken a lot of ""apologies"" being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever."
681448566,negative,userMentionToken for all my flight stuff wrong and did nothing about it. had worst flight ever
681448568,neutral,userMentionToken having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?
681448570,positive,userMentionToken you will match my americanairlines status? cool!
681448572,neutral,userMentionToken met your match.got status on another airline? upgrade : urlToken userMentionToken ?
681448574,negative,userMentionToken trying to book a flight with you guys and your website won't let me... about to lose my business
681448576,negative,userMentionToken you suck!
681448578,positive,userMentionToken thanks!
681448580,negative,userMentionToken just dm'd. same issue persisting.
681448583,negative,userMentionToken because we never rec'd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids
681448585,negative,userMentionToken trying to book a flight &amp; your site is down
681448587,negative,userMentionToken you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and didn't do anything
681448589,negative,userMentionToken you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed. expected better
681448591,positive,userMentionToken i love your guy's song! we're dancing to it for our high school dance revue
681448594,negative,userMentionToken your website is down and i'm trying to check in!
681448597,positive,"userMentionToken done! thank you for the quick response, apparently faster than sitting on hold :)"
681448598,neutral,userMentionToken nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!
681448600,positive,userMentionToken cool picture of another virginamerica plane off our wing. what a site! urlToken
681448602,positive,userMentionToken keep up the great work :)
681448604,positive,userMentionToken my goodness your people userMentionToken field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
681448607,positive,userMentionToken thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now? seriously
681448609,neutral,userMentionToken can you please get me to the new york area before monday afternoon
681448612,positive,"userMentionToken thanks so much for the awesome support, you guys rock!"
681448614,negative,userMentionToken seats in row 8 don't recline should mention that on your website soreback
681448617,negative,userMentionToken flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.
681448619,negative,userMentionToken why cancelled flight flights today? no precipitation to be scared of!
681448621,positive,userMentionToken twitter team. you guys killed it for rescheduling me asap. thank you!
681448623,negative,userMentionToken you guys charged me $100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what's the deal?
681448625,negative,userMentionToken can t access your website from safari on iphone 6. seems to work on mac and ipad. need iphone to add passbook.
681448628,neutral,"userMentionToken on ipad and iphone, clicking the checkin link in the email i received at 24hrs before flight"
681448630,negative,"userMentionToken your mobile site is broken, shows ""{{header.elevateuser.numofpointsavailable '0' number}} points"", won't let me checkin"
681448632,negative,userMentionToken i was really looking forward to my flight. can you let me know when it will be rescheduled? diehardvirgin
681448634,negative,"userMentionToken why cancelled flight flight vx413? one sec its delayed, on my to airport, the next its cancelled flightled?gonna email or call me to reschedule?"
681448637,negative,userMentionToken i did it but there was a problem in the link from the email for check-in. thanks
681448639,negative,userMentionToken had to change to another airline to get to dc today ... why is userMentionToken able to land in dc but not you? cost me $800 ...ugh
681448641,negative,userMentionToken i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ...
681448643,positive,userMentionToken when are you putting some great deals from pdx to las or from las to pdx show me your love! urlToken
681448645,positive,userMentionToken wish i can afford to fly with you next friday going back home.. love everything about your airline
681448648,negative,userMentionToken how are you gonna have a deal from dallas to dc but no deal from dc to dallas? sad
681448650,neutral,"userMentionToken it s just a bug report, guys"
681448652,negative,userMentionToken hold times at call center are a bit much
681448653,positive,userMentionToken like urlToken
681448654,negative,userMentionToken site down? help
681448656,positive,userMentionToken you have the best flight attendant ever!!! urlToken
681448658,positive,"awesome! userMentionToken watch nominated films at 35,000 feet. meetthefleet oscars urlToken"
681448660,positive,userMentionToken thanks so much!
681448663,negative,"userMentionToken trying to reset my password, email never arrives. help?"
681448665,positive,userMentionToken the only airline based in silicon valley! disruption fcmostinnovative incubator userMentionToken urlToken
681448667,positive,userMentionToken very nicely done.
681448669,positive,userMentionToken i m looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! :)
681448671,negative,userMentionToken what is the reason for the delay of the departure of vx 413 from jfk this afternoon?
681448673,negative,"userMentionToken is todays flight from palm springs, ca to jfk in ny cancelled flightled?"
681448676,positive,userMentionToken hahaha userMentionToken you guys are amazing. i love you guys!!!
681448679,positive,userMentionToken sounds like fun !
681448683,neutral,userMentionToken any updates on flight 413 from jfk &gt; lax
681448685,neutral,userMentionToken spruce moose!
681448688,negative,"userMentionToken the css on your site is a 404 right now, please fix. site unusable."
681448690,negative,"userMentionToken we're on flight 910 vegas to boston today, checked in online but our bag count didn't register. can i fix that somehow?"
681448692,positive,"userMentionToken classiq, luv virgin america. greetingz"
681448694,negative,"userMentionToken hi, i'm trying to do check-in but the website is not working. i tried 3 different browsers and the problem continues"
681448696,positive,userMentionToken thanks for your great customer service today &amp; for helping me get all my travel sorted out!
681448699,positive,userMentionToken thanks guys! sweet route over the rockies airplanemodewason
681448701,positive,userMentionToken love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco. only if i could get an iced coffee!
681448704,negative,"userMentionToken - the passenger in 7d, flt 338 that assaulted me shouldn't have flown. i trust he's banned. crew filed report to userMentionToken"
681448706,negative,userMentionToken current bug on website shows select departure city when selecting destination city urlToken
681448707,negative,userMentionToken luggage was severely dented/missing wheel coming off baggage claim in san. luggage agent miranda (i think) wasn't any help.
681448709,positive,"userMentionToken thank you for the easy itinerary shift for impending weather. quick, painless &amp; free."
681448711,neutral,"userMentionToken if you'd love to see more girls be inspired to become pilots, our free woaw event march 2-8 at abq. urlToken"
681448713,positive,userMentionToken thanks! good times there and back! vodkatonics the entire flight sfo
681448715,neutral,"userMentionToken beats expectations, shares take off - santa cruz sentinel urlToken"
681448717,neutral,userMentionToken any plans to start flying direct from dal to las?
681448720,neutral,userMentionToken big love/gratitude.mpower w/ urlToken werin oscars2105 vipswagbags@ avalonhollywood urlToken
681448722,positive,userMentionToken you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. thank you. keep it up!
681448724,negative,userMentionToken requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member
681448726,neutral,userMentionToken grand budapest hotel oscarscountdown
681448728,neutral,userMentionToken this is what you missed userMentionToken next trip to the 407.
681448730,negative,userMentionToken wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
681448732,negative,userMentionToken there is something wrong with you website in safari iphone
681448735,positive,userMentionToken thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too sweet
681448737,negative,userMentionToken already checked in so the page expired :x
681448739,negative,userMentionToken boo for a not refunding a seat upgrade fee i did not want to buy in the first place!
681448741,neutral,userMentionToken shares rise on q4 financial results - usa today urlToken
681448743,neutral,userMentionToken adds pillows instead of lie-flat seats in first class arms race urlToken
681448745,positive,userMentionToken i see what you did there :)
681448749,neutral,userMentionToken way to take advantage of mayweatherpacquiao :)
681448751,neutral,userMentionToken you know i'm flying virgin for the fight mayweatherpacquiao
681448753,positive,userMentionToken your inflight team makes the experience amazing!
681448755,positive,userMentionToken cutest salt and pepper shaker ever. just when i think you guys can't get any better you just do! urlToken
681448757,negative,"userMentionToken moved my seat with no notice. ""better seat"" is cabin select not behind the row i selected disappointed"
681448759,neutral,userMentionToken shares up on 4q results - userMentionToken urlToken
681448761,positive,userMentionToken fav airline
681448763,positive,userMentionToken we have a hot female pilot! sweet! dca to sfo! :)
681448764,neutral,when are you guys going to start flying to paris? userMentionToken userMentionToken you're welcome.
681448765,neutral,userMentionToken what is your policy on flying after surgery? i am still waiting for answer so i can tell me doctor.
681448766,negative,userMentionToken already contacted central baggage &amp; sent dm. userMentionToken is charging me for the dress that was in the lost suitcase help
681448767,positive,userMentionToken thank you!!
681448768,negative,userMentionToken is there anything going on with the website? i've been getting a lot of errors past 30 minutes.
681448769,neutral,userMentionToken i think i left something on the plane yesterday. who do i call...ah!
681448770,neutral,userMentionToken i need you to follow back in order to dm.
681448771,neutral,userMentionToken need to start flying to userMentionToken .
681448772,neutral,userMentionToken they told to check with the airline regulation first so that is why i contacted you.
681448773,negative,userMentionToken userMentionToken i have just checked in flight to sfo from lax &amp; been told as atlantic flying club gold i get no benefits?!
681448774,negative,userMentionToken husband and i ordered three drinks via my screen and they never came. awesome!
681448775,negative,userMentionToken soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence :)
681448776,neutral,userMentionToken what is your policy on flying after surgery?
681448777,neutral,userMentionToken posts second consecutive full-year net profit - userMentionToken urlToken
681448778,negative,"userMentionToken funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. i dislike this!"
681448779,positive,userMentionToken would love to do more for virgin just like i do for userMentionToken
681448780,neutral,userMentionToken results handily exceed forecasts - userMentionToken urlToken
681448781,neutral,"userMentionToken i applied for a position in userMentionToken ,and i was wondering if you guys received my application."
681448782,neutral,userMentionToken achieves a second year of profitability despite revenue pressure ... - userMentionToken urlToken
681448783,neutral,"userMentionToken gives positive outlook, but sees increased competition - userMentionToken urlToken"
681448784,negative,userMentionToken i'm trying to check into my 10:50am ct flight tmm on the desktop website and it's not working (some sort of caching bug) sos
681448785,neutral,userMentionToken weather delays &gt; next few weeks :) jfk bos dca
681448786,neutral,userMentionToken userMentionToken check the website before you go to the airport!
681448787,negative,userMentionToken do you guys know your check-in links from emails are broken? urlToken
681448788,neutral,userMentionToken pilot says we expect a choppy landing in nyc due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
681448789,positive,userMentionToken loved it. can't wait for monday's return flight... mostly just to watch the inflight safety video again. sorrynotsorry
681448790,negative,"userMentionToken lost my luggage 4 days ago on flight vx 112 from lax to iad &amp; i'm calling every day, no response.please give me back my stuff"
681448791,negative,userMentionToken the flight booking problems section of your website seems to be broken on chrome. might wanna look into that.
681448792,positive,userMentionToken hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!
681448793,positive,"userMentionToken i mean. probably inappropriate while on board.. but, it's on!"
681448794,positive,userMentionToken happy to spend the day together. let's do this!
681448795,neutral,userMentionToken is saving my sanity right now: urlToken
681448796,neutral,userMentionToken missed my flight. how does standby work?
681448797,positive,.userMentionToken they were very understanding and helped me out. thx! comps
681448798,neutral,userMentionToken brought it all the way across the country today i see urlToken
681448799,positive,userMentionToken thank you! i absolutely will
681448800,negative,userMentionToken looks like a broken link for your assets urlToken
681448801,neutral,userMentionToken are you ready!? let's say it together.. 'noooo turbulence today!
681448802,negative,userMentionToken the manage itinerary section of your website seems to be broken for me urlToken
681448803,negative,"userMentionToken can't check in, your site looks like this every time it loads urlToken"
681448804,neutral,userMentionToken can u help this userMentionToken needs urgent treatment in 2y old battling cancer could u help with flights freyasfund
681448805,neutral,userMentionToken may start service to hawaii from sanfrancisco this year urlToken biztravel
681448806,negative,userMentionToken other carriers are less than half price for a round trip fare. i am stunned. urlToken
681448807,negative,userMentionToken wtf is happening in pdx late flight march such that one way from sfo is ~$550?
681448808,neutral,userMentionToken add dtw and i'm sold!
681448809,positive,userMentionToken how about some free drinks on the flight back for the free promo?
681448810,positive,userMentionToken userMentionToken thanks!
681448811,neutral,userMentionToken momma i made it!
681448812,neutral,userMentionToken please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am. need it returned. call 914-329-0185.
681448813,neutral,userMentionToken help. i was on flight 27 from jkf tonight. seat 7c left portfolio. need it back!!
681448814,neutral,userMentionToken userMentionToken seattle bound. wifey got me the duffle for vday. she's a keeper!!! holla!!! urlToken
