id,sentiment,text
681454407,negative,"userMentionToken if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page"
681454408,negative,"userMentionToken your website has now reverted my 1st flight to only a 5-minute delay. but it's changed, so is that reliable information?"
681454409,negative,userMentionToken swa helps the hotel industry. i always book flights a day before i need to be somewhere as swa consistent cancelled flights/delays.
681454410,negative,userMentionToken unfortunately once the call was answered service was horrid. swa was the role-model of finger pointing &amp; excuses disappointed
681454411,neutral,userMentionToken barzegar charges tourists 700 euros [!] a night for their stay in the tent village he runs. urlToken
681454412,neutral,userMentionToken can you please make sense of the companion promo? how to we set it up?
681454413,neutral,userMentionToken unfortunately i don't even have that. my phone died before o had a chance to grab it. it was from oma to san from 3/27-4/2
681454414,neutral,userMentionToken live in atlanta but cant enroll in your atlanta companion promotion. error every time. can you help? also sent email. thanks!
681454415,negative,userMentionToken frustrating indeed especially when no one knows what the issue is....
681454416,negative,userMentionToken on hold with customer service; you may be quicker. i rebooked trip for a lower fare. where did the difference in $ go?
681454417,neutral,"userMentionToken that was chantilly, paris, france."
681454418,negative,userMentionToken and thx for not responding
681454419,negative,userMentionToken i booked a flight on my phone and then never got a confirmation email. how would i go about getting that?
681454420,negative,userMentionToken supposed to take off almost 2 hours ago.... vacationfail frozenwater? gettingimpatient theycouldatleastofferfreebooze
681454421,negative,userMentionToken how come i'm not getting my points after i buy from the rapid reward shopping site?
681454422,neutral,userMentionToken hey i'm flying from tampa to denver today and i want to know if there will be tv's in the seats like userMentionToken
681454423,neutral,userMentionToken and carol thrower are passengers. fort lauderdale airport.
681454424,negative,userMentionToken mins and no answer. my wife and baby need to get on that flight. she arrived 2 hrs prior. please help. venetia crook
681454425,negative,userMentionToken my wife and 9 month old might miss flight and next direct is 210 pm. mother in law been on hold with customer support for 30
681454426,negative,userMentionToken flight 1614 fll to atl. my wife traveling with infant. line to check baggage 200 people long due to your computer system crash
681454427,positive,userMentionToken thanks! sent a dm to you. let me know if oyu need any additional information.
681454428,negative,"userMentionToken hey, friends. when i phone the a-list number your ivr hangs up on me. multiple times. not sure how to proceed?"
681454429,positive,"userMentionToken strives to be 'customer centric' in everything they do - communications, advertising, customer journey, etc. anamarketers"
681454430,negative,"userMentionToken la always has traffic, but this is insane. i can't be the only one with this issue on flight 1625"
681454431,negative,userMentionToken insane traffic in la. trying to call you all to re schedule flight but been on phone for 20 minutes and nothing.
681454432,neutral,userMentionToken airline trouble &amp; not getting satisfactory customer service? contact urlToken we negotiate resolutions for you!
681454433,neutral,userMentionToken hey southwest! help me find a flight from nashville - washington dc or raleigh for under $150 on march 15 please!
681454434,negative,"userMentionToken why can we no longer change trips with a companion online? been doing it for years, now get message can't be done online?"
681454435,negative,userMentionToken adding rr number to a userMentionToken stay is too hard. won't take rr number at checkin/out and marriott phone cs not helpful.
681454436,negative,userMentionToken nor userMentionToken fly to toronto?!?!? you're killing me smalls . . . . .
681454437,neutral,userMentionToken thank you!
681454438,neutral,userMentionToken traditionally used sledge hammer - low $ taking share from driving now scalpel approach through data science anamarketers
681454439,positive,userMentionToken customer centricity is knowing people anamarketers
681454440,negative,"userMentionToken i have used you guys for most my travels, but this last experience i will never use southwest again! worstcustomerservice"
681454441,neutral,userMentionToken is america's largest airline by passengers carried! wonder if this is b/c they have a 'customer service bible' anamarketers
681454442,negative,"userMentionToken vipliveinthevieyard - first time we tried to redeem pts for *anything*, it really did not go well. disappointed"
681454443,positive,userMentionToken ok thank you i hope so too
681454444,negative,userMentionToken is there a way to receive a refund on a trip that was cancelled flight online instead of calling? your phone lines are super busy.
681454445,positive,"userMentionToken userMentionToken userMentionToken 4 moms, 4 careers, 1 day trip to la. intuitlife leanin urlToken southwestairlines"
681454446,neutral,userMentionToken is there a resource to check delays/cancelled flightlations out of love field? flying out tomorrow am and stressed about weather!
681454447,negative,"userMentionToken switching planes due to mechanical problems. how does reboarding work? was a49, now at end of long line. stuck in middle?"
681454448,negative,"userMentionToken why, when i booked via phone after calling the a list preferred , didn't my kta get added to the ticket??? must i use web?"
681454449,negative,"userMentionToken tried for vip live in the vineyard but yr site went down, by the time i got in 2 redeem pts those packages gone."
681454450,neutral,userMentionToken an oscar-worthy entrance into la. urlToken
681454451,positive,"userMentionToken is the best airline hands down. amazing customer service, bags free and affordable flights. happycamper"
681454452,positive,userMentionToken thanks to ella-mae at las counter for going above and beyond to help us get back to abq after our flight was cancelled flightled!
681454453,neutral,userMentionToken userMentionToken will flight 2155 that arrives at e11 be a penguin plane?
681454454,positive,userMentionToken thank you for taking good care of people with als! urlToken userMentionToken userMentionToken userMentionToken
681454455,positive,userMentionToken has the smoooothest flight attendants. southwestsmoothie urlToken
681454456,negative,userMentionToken why was southwest only airline to cancelled flight all flights from charleston? was 7:50pm flight cancelled flightation really weather relate flightd?
681454457,neutral,userMentionToken stepup makeitright re you best? or just money hungry? wewillsee
681454458,negative,"userMentionToken thanks for the text, but not exactly timely 8). data throughout issues today maybe? urlToken"
681454459,negative,userMentionToken i called the 800 # and the rep there was pleasant but less than helpful! told me i was sol. train them for consistent cx!
681454460,negative,userMentionToken 25 year customer but i am 6 3 and those lost 2 or 3 inches really hurt every time the person in front shifts he raps my knees
681454461,neutral,"userMentionToken ...was only less than 3500pts, but it helped. had partnerrewards incoming, but not fast enough to keep pts from expiring."
681454462,neutral,"userMentionToken wife's rr pts expired a few days ago, were planning on flight booking problems trip today. anything you can do for us? on a tight budget..."
681454463,negative,userMentionToken would be great if i atleast was next to my husband who is flying in the same reservation
681454464,negative,userMentionToken why is customer relations still not open....in texas?!
681454465,positive,userMentionToken thank you for the tip!
681454466,negative,userMentionToken i hate evolved seating. knees in the seat pocket urlToken
681454467,positive,userMentionToken thanks to your team for dealing with flight 1700 to houston.
681454468,positive,"userMentionToken bumped me to preboard on both flights (because i'm fat?) whatever the reason, thanks!"
681454469,negative,"userMentionToken i ""heart"" southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations."
681454470,neutral,userMentionToken i urgently need two receipts sent but cs is closed. can you help?
681454471,neutral,userMentionToken sent
681454472,negative,userMentionToken any etd for swa1004 from phl? appears delayed but no info available at gate.
681454473,negative,userMentionToken can you tell me why you cancelled flightled the flight vs delay
681454474,negative,userMentionToken my bday was yesterday and my girl gave birth to my first born and i couldn't get a courtesy flight change from lynn... thanks!
681454475,neutral,^cb how do you know? userMentionToken
681454476,negative,"userMentionToken no need, i know the status, you cancelled flightled instead of delaying the flight."
681454477,negative,userMentionToken weather where? and at what time cancelled flighted? no i can't because meeting was today.
681454478,neutral,userMentionToken the flight isn't that empty.... is this rude or not? urlToken
681454479,positive,userMentionToken - we left ipad in a seat pocket. filed lost item report. received it exactly 1 week late flightr. is that a record? unbelievable
681454480,negative,userMentionToken when and why was flight 4471 from msp cancelled flighted this am?
681454481,negative,userMentionToken i luv y'all but please stop overheating your planes. second flight in a row that feels like a sauna.
681454482,neutral,userMentionToken i was not the one traveling. i was asking for my sister who was waiting on my nephew in midland...flight eventually landed
681454483,positive,userMentionToken can anyone help me upgrade to buisness select !? cant seem to get hail of the right area at all .. i know you guys are good
681454484,negative,userMentionToken i have asked lindsey to call me instead of dm like a schoolgirl but so far no call getting tired of typing little notes
681454485,negative,userMentionToken give us some more clever advertising about bagsflyfree is that because badpolicy allows you to cheatcustomers
681454486,negative,userMentionToken it's just the principle - it's hard to get mugged &amp; not be upset you took my money &amp; didn't give me anything wrongiswrong
681454487,negative,userMentionToken customer service you shouldn't use those words wasted my time and took my money badbussiness theft urlToken
681454488,negative,userMentionToken three hour flight to orlando and no wifi? uncool. firstworldproblems
681454489,positive,"userMentionToken loving the new planes and the lighting, only wish windows were larger. urlToken"
681454490,negative,userMentionToken i would like to ask that his bags be picked up at pit &amp; taken to his hotel by the airport. will someone contact me
681454491,negative,"userMentionToken customer service at fll, bwi,and pit have been terrible.no one knows where his bags are.his is on a job with no clothes &amp; gear"
681454492,negative,"userMentionToken after multiple attempts, i was finally able to submit them late flight last night."
681454493,negative,"userMentionToken up at 4am and arrive to find it already cancelled flighted. no options so miss my meeting. you might ""know"" but don't show it."
681454494,neutral,userMentionToken it's a new day and a new chance for you to do the right thing it's never too late flight to be honest.
681454495,negative,userMentionToken darn! i bought it on the wrong device! no way to switch i'm sure?
681454496,neutral,"userMentionToken quick question - i bought wifi for my phone, do i have to buy it again on my tablet? i have 9 hours left on my trip"
681454497,positive,userMentionToken cool shot of the moon and one of your fleet urlToken
681454498,neutral,"userMentionToken hello swa, who is your poc for partnerships with nonprofit organizations in bwi area?"
681454499,negative,userMentionToken hey remember that time you lost my husbands bags? i do. filmjobnoequipment nowarmclothes
681454500,positive,userMentionToken looking forward to flying once again with swa on friday! the luv airline. dtw mdw tus
681454501,positive,userMentionToken i love this airline so much! thanks so much! the service is great! the snacks are amazing! everything is outstanding thanks!!
681454502,negative,userMentionToken you need to redeem yourself. i lost respect for you tonight lostbags filmjobnoequipment
681454503,negative,userMentionToken way to fuck up and lose userMentionToken bags. my husband has no warm clothes and no equipment. youdidit notcool
681454504,neutral,"userMentionToken you should have assigned seating, because now my cousin &amp; i probably can't sit together on our flight tomorrow.. thanks."
681454505,negative,userMentionToken wifi stays connected about the lifetime of a higgs boson
681454506,neutral,userMentionToken forget wedding fairs. how about discounts for nonprofits? we donate part of our worth every single day
681454507,negative,userMentionToken when will your phone agents be able to give the correct departure times for cun? when can we checkin online for international?
681454508,negative,userMentionToken making me miss thebachelor right now wah
681454509,neutral,userMentionToken please lower my plane flight by like $100 bucks!! thanks~ floridavacation
681454510,positive,userMentionToken had a great flight to and from cabo last week with my family smoothflight frequentflyer
681454511,negative,userMentionToken we can let bags flutter because we charge travelers that had to change dates fullprice and we don't let them travel
681454512,positive,userMentionToken on that late flightst ad. makes me happy to be flying you in a few days. bethonors
681454513,positive,userMentionToken the fact that u see black history month 12 months a year is honorable! we will be an economic base for corp. like u in future!
681454514,neutral,userMentionToken should offer cdn border towns incentive to fly since exchange rates are hurt. customerappreciation gaincustomers keepem2
681454515,positive,userMentionToken what an awesome flight dallas 2 ny. virgin america refused bc of my child's peanut allergy but u guys didn't. thanks!
681454516,negative,userMentionToken won't let me send a dm because they don't follow me.. lovedflyingwiththem notanymore wrong badpolicy
681454517,neutral,userMentionToken reference : 261093929756
681454518,negative,userMentionToken your welcome. it was the thoughts of nearly the entire plane.
681454519,neutral,userMentionToken do you know the reason flight 336 from dallas to midland was diverted to lubbock? was suppose to be direct to midland.
681454520,positive,"userMentionToken in flight wifi + userMentionToken wifi calling makes for the best combination. who doesn't love texting 40,000 feet in the air :)"
681454521,negative,userMentionToken has become like every other airline crooked i can't believe they are taking over $500 shouldwearmasks shocked
681454522,negative,userMentionToken here is my conf f8neqm. my flight was delayed for 3 hours while my friend waited for me on her bday. please follow up.
681454523,negative,userMentionToken twitter cust svc rule 1 dont say if we fell short. i just told u u did! 2 if u cant solve problem don't say anything at all!
681454524,negative,"userMentionToken disappointed in the 'service' i've received. checked in online, checked my my flight status online, checked in at the airport"
681454525,positive,userMentionToken great day in the air. urlToken
681454526,positive,userMentionToken thanks!
681454527,positive,"userMentionToken thanks for two smooth, safe and fast flights! boston houston luvswa urlToken"
681454528,positive,userMentionToken /i really love your customer service lou ann in phx rocks. thanks sw. be ourguest
681454529,neutral,"see you in atl! userMentionToken congrats to our destinationdragons winners! ready, atlanta? urlToken urlToken"
681454530,neutral,userMentionToken if i am enrolled in the atl companion pass offer and booked 3 flights already before may 17 when can i start using the pass?
681454532,negative,"userMentionToken very disappointed in your customer service right now. definitely not feeling the luv. what's worse, 2nd time this winter."
681454533,neutral,userMentionToken will do - if you follow back i can dm that info
681454534,positive,"userMentionToken katie, gate c47, denver international, fantastic customer service helping me and 2 new flyers; thx for amazing staff!"
681454535,negative,userMentionToken kudos to bag handler at dtw gate 21 at 7:10 pm. ran to keep bags from hitting ground in 9 degree temp! urlToken
681454536,positive,userMentionToken crew on flight 206 is awesome! tell them i sent this tweet and maybe they will give me free wifi... canthurtasking
681454537,positive,userMentionToken thankyou :) )
681454538,neutral,userMentionToken how much is ur wifi fam
681454539,neutral,userMentionToken userMentionToken i tried. it's okay
681454540,positive,userMentionToken happy to enter your sweepstakes again nutsaboutsouthwest
681454541,positive,userMentionToken thanks for the great customer service today!
681454542,neutral,userMentionToken is the vinyl part of the prize too?
681454543,positive,userMentionToken beyond ready
681454544,negative,"userMentionToken when i called i was told my bag had made it to phl, but still has not been delivered or any call from the delivery service"
681454545,neutral,userMentionToken looks like brooding skies out of ont this evening. urlToken
681454546,neutral,userMentionToken no monkey business we luv swa!! mdw2mci homeandreadyfornexttrip urlToken
681454547,positive,userMentionToken is my favorite airlines. i've never had issues with them. plus there crew is entertaining.
681454548,negative,userMentionToken should be a way to give voice to customers who pay for services that are not satisfactorily delivered. justsayin
681454549,positive,userMentionToken your flight attendants are really funny!! the sass is giving me life!!!
681454550,negative,userMentionToken i am genuinely surprised you all don't upgrade people when you cancelled flight their flights or at least put them in a comparable spot
681454551,positive,userMentionToken following. thank you.
681454552,negative,userMentionToken would someone please dm me the customer relations number. the website has only customer service.
681454553,negative,userMentionToken : this is the second time in a row i haven't received text updates about flight time change. don't offer if you won't use it
681454554,negative,userMentionToken you cancelled flightled my flight and now i am in the back of the queue and you want to charge me 200 for business class? stay classy
681454555,negative,userMentionToken hope your flyers get a credit of some sort for all the delays and cancelled flightlations shittydeal notimpressed
681454556,negative,userMentionToken userMentionToken taylor. u gotta love swa responsiveness at theuserMentionToken least huh?
681454557,positive,userMentionToken it's all good. thanks!
681454558,positive,userMentionToken thank you :)
681454559,negative,userMentionToken now you love me? after taking my money and only taking me halfway home. sorry. too late flight
681454560,negative,"userMentionToken oh, ok! all good! looking forward to escaping the cold for a bit! thanks!"
681454561,negative,userMentionToken wifi is so slow! what is the point having one if can't get on the internet?! ugh...
681454562,neutral,userMentionToken i have a few questions about flying with my maltese puppy. can you dm me?
681454563,neutral,userMentionToken any word when the customer relations department will open back up?
681454564,neutral,userMentionToken can you tell me if flight 805 from mdw-fll tomorrow (2/24) is at full capacity? i'm hoping for a little bit of extra room!
681454565,neutral,userMentionToken just left there friday!
681454566,positive,userMentionToken oh no worries. just have never seen that before until today. i mean it is a great card
681454567,positive,userMentionToken thank you thank you thank you!!! my last attempt to win destinationdragons tickets was a success! i could not be happier!! :)
681454568,positive,userMentionToken flight 1700. (phx to lax) wheels stop. glad to be home! thanks to the professionals both up front and in the cabin!!!
681454569,positive,userMentionToken eyes next steps for improving inflight wifi - runway girl urlToken
681454570,neutral,userMentionToken could you maybe hook (userMentionToken ) with some imagine dragon tickets tonight! shes a hugeeeee fan &amp; would really love to go
681454571,negative,userMentionToken hasn't evennotified us that theflight isdelayed via email/text/phone call.if we wererunning late flight i would be pissed unreliable
681454572,negative,"userMentionToken can tweet through the weekend/ bad weather, but closes down customer relations center to process refunds for cancelled flighted flights."
681454573,negative,userMentionToken stop cancelled flighting my flight i have us history tests to take and chemistry things to learn do you not understand!!!!!!!!!
681454574,positive,"userMentionToken 2/22-mdw 2 san flt 1687 attendant melissa was awesome! fast, smiling, great. after weather cancelled flight day b4, it was welcome"
681454575,negative,userMentionToken been all up and down the area where the pic was taken and don't see any albums.
681454576,neutral,userMentionToken i enjoyed a call from my good friend he's flight booking problems his flights elsewhere as i tweet one at a time i will tell as many as i can
681454577,positive,userMentionToken thank you. great customer service so far. accidents happen i understand. hopefully everything works out.
681454578,negative,userMentionToken my question is this: what's up with the crazy boarding procedure? does the confusion prevent fistfights over the good seats?
681454579,neutral,userMentionToken opened online applications for fall 2015 intern positions throughout the company. apply via urlToken
681454580,neutral,userMentionToken honesty should always be the policy
681454581,positive,userMentionToken thanks for the quick response. should i call daily it wait the 5 days.
681454582,neutral,userMentionToken i knew i was correct! urlToken
681454583,neutral,userMentionToken briughy me to userMentionToken aif2015 &amp; so much more with the agcommunity
681454584,neutral,userMentionToken any deals to orlando in april/may??
681454585,neutral,userMentionToken magazine feature: desk plants increase productivity by 15%. luvswa healthbenefitsofplants gardening urlToken
681454586,neutral,userMentionToken new marketing song? urlToken let us know what you think? urlToken
681454587,negative,"userMentionToken prove it, cuz the southwest people here don't even know why it's behind schedule."
681454588,positive,userMentionToken seeing your workers time in and time out going above and beyond is why i love flying with you guys. thank you!
681454589,negative,userMentionToken u were bae until u lost both of my bags and had no clue where they were or what happened to them for 36 hours :/
681454590,negative,userMentionToken prove it
681454592,positive,userMentionToken travel agent darrel here at love field hosting a paper airplane contest to entertain all the children was so awesome to see!
681454593,positive,userMentionToken big kudos to your staff today at dallas love field for lifting everyone's spirits today with all the delays and cancelled flightlations
681454594,positive,"userMentionToken it's not fun having a delay from nashville to las vegas, but the crew at the gate c9 desk has been awesome! patience luvswa"
681454595,negative,userMentionToken thinks that a $100 voucher makes up for spending 4 hrs on a plane and landing at the same airport we took off from. really?
681454596,positive,never got to the strip that fast before. stoked for special userMentionToken show tonight! thx again userMentionToken urlToken
681454597,negative,userMentionToken the problem is apologies don't help. results matter and it's proving impossible to find anyone who is interested in that.
681454598,neutral,userMentionToken no fare giving out clues. in route now.
681454599,positive,userMentionToken telling my fam in vegas now. :)
681454600,neutral,userMentionToken how many tickets are left?
681454601,positive,userMentionToken thank you!
681454602,negative,userMentionToken is new mkt strategy to be average like all the rest? whathappend? rr points devalued- again - urlToken
681454603,negative,userMentionToken do these scavenger hunt locations have anything in common because i'm playing detective trying to figure out the one for atl.
681454604,neutral,userMentionToken why do you have to be 18
681454605,negative,"userMentionToken ruined my sunday. 3+ hours of delays out of dia, now my bags are at the wrong airport. $35 to deliver them? insult to injury."
681454606,positive,"userMentionToken what can we do to bring you back to jackson, ms?! we miss you terribly around here. these other airlines are horrible!!"
681454607,neutral,userMentionToken any idea why tsa pre-check isn't showing for my next flight tomorrow? the number is in my profile...
681454608,positive,userMentionToken 3 hours and 80 degree difference. yes please!! mht to mco userMentionToken urlToken
681454609,negative,"userMentionToken sent. looking for that functionality in your app, though. should be a one click action."
681454610,neutral,userMentionToken still there? i was posted up in downtown waiting for y'all. on my way!
681454611,negative,"userMentionToken like kelsey said, really bad spot for locals. do you know how long it takes to find parking then walking over to the bellagio?"
681454612,neutral,userMentionToken are 5 people there?
681454613,positive,userMentionToken looks like bellagio to me! good luck people! see you at the show at vinyl
681454614,neutral,"userMentionToken congrats to these fans who are seeing destinationdragons in l.a.! slc, you're next! urlToken thanks again sw"
681454615,positive,userMentionToken can a pair of tickets waiting for me after my sports practice? i live here and definitely know where that is! userMentionToken
681454616,positive,userMentionToken love southwest. you guys have been good to me! urlToken
681454617,negative,userMentionToken how about destinationdragon tix for tonite for the inconvenience since i am not there to play scavenger hunt?
681454618,neutral,"userMentionToken dang, if only practice was an hour late flightr today..."
681454619,neutral,"userMentionToken that was supposed to say ""boo"" not book. booo."
681454620,neutral,userMentionToken vegas i was there 5 days ago. miss the warm weather
681454621,positive,userMentionToken your crew on 3138 is doing a great job of keeping everyone informed during the delays givethemraises
681454622,negative,userMentionToken right? we're delayed so i'm crabby. :) also why do you allow one family member to purchase earlybird check in and hold rows?
681454623,positive,userMentionToken really easy for locals to get down to the strip. book.
681454624,neutral,userMentionToken grrrrrr i need a flight there first! maybe for my bday next month...
681454625,positive,userMentionToken luv! your new luv television commercials. traveled on your airline last year return trip from nyc... feltthelove
681454626,neutral,"userMentionToken is it possible to add travel arranged by my employer to my upcoming travel? i can retrieve a reservation, but that's it."
681454627,neutral,userMentionToken i sent a email to customer relations and i will be calling tomorrow.
681454628,neutral,userMentionToken how do get priority seating after you already paid for the flight
681454629,negative,userMentionToken 10+ people pre boarded only 1 needed a wheel chair off the plane... was not the case boarding
681454630,neutral,userMentionToken is it possible to add companion to only the 2nd leg of a trip?
681454631,positive,userMentionToken best airline
681454632,positive,userMentionToken netneutrality nice to see you prioritize internet traffic to your own streaming service over other web sites!
681454633,negative,userMentionToken poor customer service displayed over the weekend during the storm. i was stuck on the tarmac for 2.5 hours with no answer!
681454634,neutral,userMentionToken northern california coast urlToken
681454635,neutral,"userMentionToken hi guys, do you have a general enquires email address please? thanks david."
681454636,neutral,userMentionToken watching planes do their thing urlToken
681454637,positive,userMentionToken thanks for getting us to paradise safely! urlToken
681454638,negative,userMentionToken feeling very frustrated that i bought wifi onboard and can't load an email.
681454639,neutral,userMentionToken continues to prove to be the best airlines
681454640,positive,userMentionToken just go ahead and start the scavenger hunt after 5 pm today when work is over :) destinationdragons
681454641,negative,userMentionToken why do you let one person board with early bird and save seats for entire party? notcool flight2149
681454642,neutral,userMentionToken thanks!!
681454643,positive,userMentionToken awesome staff at the check in desk! they had a paper airplane race for a sw gift card to keep ppl entertained during delays
681454644,negative,userMentionToken but when do i get my gin &amp; tonic !?!?
681454645,negative,userMentionToken is this a sick joke? toyingwithouremotions
681454646,negative,"userMentionToken , please explain to me why every other flight to dallas is going out today except the 6:35 pm?????"
681454647,negative,userMentionToken will continue to be my airline of choice. userMentionToken -most frustrating travel day i've experienced. 5 delays and 4 gate changes?!
681454648,positive,userMentionToken just got a call apologizing personally for the long waits last week trying to rebook flights. class act. i appreciate that!
681454649,negative,"userMentionToken userMentionToken serious potential for a wanna get away commercial out of this debacle. but for real, you should fire userMentionToken"
681454650,negative,"userMentionToken i appreciate the response, but the constant changing of the flight time is frustrating to say the least. toughtomakeplans"
681454652,negative,userMentionToken how long do we have to be delayed after boarding before we get a free drink? gettingthirsty
681454653,neutral,"userMentionToken done. sorry, i thought i was already."
681454654,negative,"userMentionToken i can. doesn't it seem fair that if our bags need to fit under our seats, we should need to fit in them?"
681454655,positive,userMentionToken your terry is our hero! got my husband back thru security to retrieve cellphone left on plane in austin. terry 85832 u rock!
681454656,negative,"userMentionToken just wanted 2 change an anytime flight leaving at 11:50 @ 11:00. phone hold 4 46mins. phone answers, she says sorry - no dice."
681454657,negative,"userMentionToken weren't too ""sincere"" when you cancelled flighted my flight and made me drive 17 hours to get home.."
681454658,positive,userMentionToken your terry is our hero! got my husband back thru security to retrieve cellphone left on plane in austin. terry 85832 u rock!
681454659,positive,userMentionToken your terry is our hero. got my husband back thru security to retrieve his cellphone in austin. terry ( 85832) you rock!
681454660,positive,"userMentionToken thanks, you guys are the best"
681454661,positive,userMentionToken i'll stick with flying for free any where that southwest goes; my son works for this wonderful company and moms fly free.
681454662,neutral,userMentionToken if only you could control the weather in las vegas
681454663,negative,userMentionToken pretty terrible customer service. sat on hold 10 min. then a busy signal. then disconnected. do all airlines have to suck?
681454664,neutral,userMentionToken could you please tell me if there is a way to add a rr# to a flight that already took place?
681454665,negative,userMentionToken hooking us up and getting us to tampa after our flight was cancelled flightled this morning grateful businesstrip
681454666,positive,userMentionToken love the passbook update. used it the day after it was released. finally!! thank you!
681454667,neutral,userMentionToken my ticket was booked 1/27 to cun. does the arrival time reflect that cun is now on est time?
681454668,negative,"userMentionToken userMentionToken yes i did. i hope for an update soon, need those clothes for a meeting tomorrow."
681454669,positive,userMentionToken a+ to the safety dos and don'ts announcer. flight 651 from midway (mdw) to pittsburgh (pit)!
681454670,negative,userMentionToken this is not a fair set up. i payed for a full seat. i should get access to a full seat. urlToken
681454671,negative,"userMentionToken sorry to bother you, but i've been on hold for more than 2 hours and 30 minutes. should i continue holding? or call back?"
681454672,positive,userMentionToken another great trip! lax 823 - las 3075- bna. thanks so much!!!
681454673,negative,userMentionToken your checkin is lame for business. really last seat? i have broad shoulders haha
681454674,negative,userMentionToken yeah they're somewhere. hopefully getting them back today. just frustrated tweeting.
681454675,negative,"userMentionToken completely understand act of god weather-relate flightd cancelled flightlation, but 4 days without reimbursement of any kind is unacceptable"
681454676,negative,userMentionToken why so expensive to go to vegas with stops in late flight june as i can get non stop for same on competition
681454677,negative,"userMentionToken delayed twice now cancelled flighted...sent complaint email, yet no response. need an explanation pls. notsatisfied smh unhappy"
681454678,positive,userMentionToken got help from a nice lady on the phone in georgia. thank you!
681454679,negative,userMentionToken when will the flight resume? i don's see it in the open schedule. :/
681454680,neutral,"userMentionToken understand the weather, these kids need to get home! nice kids doing volunteer work from a ri high school, please help"
681454681,positive,"userMentionToken thanks for the quick reply! i travel a lot...but not that much, lol."
681454682,negative,userMentionToken that does sound hopeful. it's a very thin device so i just hope the right person found it in time.
681454683,negative,userMentionToken my bag was not shown luv did not make it to phl with me.
681454684,negative,userMentionToken i regret not flying you this morning userMentionToken doesn't support business travelers. neverflyvirginforbusiness
681454685,positive,userMentionToken thanks. i did go through these motions shortly after my flight yesterday. i wonder how quickly flight attendants are notified.
681454686,negative,userMentionToken how many others didn't know you are stopping non stop flights to atl and from to hartford ct as of april ?
681454687,neutral,"userMentionToken thanks, lindsey. any idea when i'll get there?! stuck in denver and told to ""listen to the intercom better""."
681454688,positive,userMentionToken nice touch on the passbook integration!
681454689,neutral,"userMentionToken easy fix, let the business select actually board 1st, then board the pre-boards..."
681454690,negative,userMentionToken a companion pass flyer to other airlines because it's being abused @ every airport...
681454691,negative,"userMentionToken it's not disappointment, it's a blatant disregard for your business select customers, it's becoming a problem that's pushing"
681454692,neutral,userMentionToken need assistance getting an extension on a flight that has expired.
681454693,positive,userMentionToken awesome. thanks! you guys rock!
681454694,negative,"userMentionToken hello remaining credits on your account will be refunded back to your credit card, when you choose a lower price flight?"
681454695,neutral,userMentionToken when can we expect customer service in dallas to be available
681454696,negative,userMentionToken it eventually arrived. just seemed really slow. :)
